"Depth","Time","Name","Data"
"0","0.008521875","Connectable + Scannable Undirected (""CloudPrint_0159"" 68:50:8C:23:70:C1, Initiator [ChSel #2] ""HONOR 50 Pro"" 59:54:A9:E2:43:20 (Resolvable)~EC:64:88:54:36:7A, Scanner ""HONOR 50 Pro"" 70:3E:A9:C7:EA:90 (Resolvable)~EC:64:88:54:36:7A, 35.3 s)"
"1","0.008521875","Connectable Undirected Adv Packet (68:50:8C:23:70:C1, Flags, Local Name, Name=""CloudPrint_0159"", Service Uuids (Complete), Services=Device Information, Manufacturer Specific Data, Manuf=2 bytes)","20 24 C1 70 23 8C 50 68 02 01 06 10 09 43 6C 6F 75 64 50 72 69 6E 74 5F 30 31 35 39 03 03 0A 18 05 FF 2B 1A 01 04 9B 5D 8C"
"1","0.009258125","Connectable Undirected Adv Packet (68:50:8C:23:70:C1, Flags, Local Name, Name=""CloudPrint_0159"", Service Uuids (Complete), Services=Device Information, Manufacturer Specific Data, Manuf=2 bytes)","20 24 C1 70 23 8C 50 68 02 01 06 10 09 43 6C 6F 75 64 50 72 69 6E 74 5F 30 31 35 39 03 03 0A 18 05 FF 2B 1A 01 04 9B 5D 8C"
"1","0.009993875","Connectable Undirected Adv Packet (68:50:8C:23:70:C1, Flags, Local Name, Name=""CloudPrint_0159"", Service Uuids (Complete), Services=Device Information, Manufacturer Specific Data, Manuf=2 bytes)","20 24 C1 70 23 8C 50 68 02 01 06 10 09 43 6C 6F 75 64 50 72 69 6E 74 5F 30 31 35 39 03 03 0A 18 05 FF 2B 1A 01 04 9B 5D 8C"
"1","0.042272625","Connectable Undirected Adv Packet (68:50:8C:23:70:C1, Flags, Local Name, Name=""CloudPrint_0159"", Service Uuids (Complete), Services=Device Information, Manufacturer Specific Data, Manuf=2 bytes)","20 24 C1 70 23 8C 50 68 02 01 06 10 09 43 6C 6F 75 64 50 72 69 6E 74 5F 30 31 35 39 03 03 0A 18 05 FF 2B 1A 01 04 9B 5D 8C"
"1","0.043008625","Connectable Undirected Adv Packet (68:50:8C:23:70:C1, Flags, Local Name, Name=""CloudPrint_0159"", Service Uuids (Complete), Services=Device Information, Manufacturer Specific Data, Manuf=2 bytes)","20 24 C1 70 23 8C 50 68 02 01 06 10 09 43 6C 6F 75 64 50 72 69 6E 74 5F 30 31 35 39 03 03 0A 18 05 FF 2B 1A 01 04 9B 5D 8C"
"1","0.043744875","Connectable Undirected Adv Packet (68:50:8C:23:70:C1, Flags, Local Name, Name=""CloudPrint_0159"", Service Uuids (Complete), Services=Device Information, Manufacturer Specific Data, Manuf=2 bytes)","20 24 C1 70 23 8C 50 68 02 01 06 10 09 43 6C 6F 75 64 50 72 69 6E 74 5F 30 31 35 39 03 03 0A 18 05 FF 2B 1A 01 04 9B 5D 8C"
"1","0.072272875","Connectable Undirected Adv Packet (68:50:8C:23:70:C1, Flags, Local Name, Name=""CloudPrint_0159"", Service Uuids (Complete), Services=Device Information, Manufacturer Specific Data, Manuf=2 bytes)","20 24 C1 70 23 8C 50 68 02 01 06 10 09 43 6C 6F 75 64 50 72 69 6E 74 5F 30 31 35 39 03 03 0A 18 05 FF 2B 1A 01 04 9B 5D 8C"
"1","0.073008625","Connectable Undirected Adv Packet (68:50:8C:23:70:C1, Flags, Local Name, Name=""CloudPrint_0159"", Service Uuids (Complete), Services=Device Information, Manufacturer Specific Data, Manuf=2 bytes)","20 24 C1 70 23 8C 50 68 02 01 06 10 09 43 6C 6F 75 64 50 72 69 6E 74 5F 30 31 35 39 03 03 0A 18 05 FF 2B 1A 01 04 9B 5D 8C"
"1","0.073744750","Connectable Undirected Adv Packet (68:50:8C:23:70:C1, Flags, Local Name, Name=""CloudPrint_0159"", Service Uuids (Complete), Services=Device Information, Manufacturer Specific Data, Manuf=2 bytes)","20 24 C1 70 23 8C 50 68 02 01 06 10 09 43 6C 6F 75 64 50 72 69 6E 74 5F 30 31 35 39 03 03 0A 18 05 FF 2B 1A 01 04 9B 5D 8C"
